255,85
135,108
153,110
206,135
157,128
166,139
295,171
238,172
304,187
239,177
315,193
210,201
163,212
156,224
170,208
145,223
182,212
259,226
210,228
310,230
304,228
315,231
205,233
195,234
312,241
259,245
57,241
226,246
163,237
181,243
212,245
258,255
183,250
215,252
230,266
159,260
101,266
84,271
280,281
199,277
88,280
207,279
262,303
89,307
156,298
184,311
265,326
115,322
160,326
257,325
179,326
226,325
262,339
118,342
151,344
193,343
255,342
177,342
54,346
133,354
117,353
192,355
32,364
210,373
77,382
160,388
255,391
155,410
203,417
293,416
216,433
141,435
196,439
174,437
158,440
204,439
188,439
118,452
204,450
214,449
166,451
192,451
141,451
151,452
158,451
172,450
184,451
263,458
203,462
213,463
158,464
164,463
187,463
195,463
141,464
150,464
171,463
126,465
265,474
203,475
171,476
179,476
213,474
141,477
150,477
160,476
187,476
194,475
274,484
265,485
171,489
202,487
74,490
150,489
155,489
163,489
179,489
186,487
194,488
213,488
141,490
163,502
190,501
195,502
202,501
214,500
141,503
150,502
156,502
171,502
182,501
227,520
213,512
162,515
170,514
178,514
195,514
203,514
141,516
150,516
156,516
186,514
115,524
213,526
103,530
163,528
171,528
179,527
194,527
202,526
140,529
150,530
187,541
203,539
214,539
150,542
156,542
164,541
171,541
179,541
192,540
141,543
248,540
150,555
158,555
203,553
179,557
187,553
216,557
141,561
97,571
141,571
81,574
119,578
230,574
219,599
24,619
146,616
280,612
169,617
53,643
204,650
125,664
254,668
152,689
92,687
269,681
318,700
104,740
116,737
226,736
81,744
150,744
79,753
220,750
80,770
103,765
219,760
224,775
80,805
158,802
161,822
147,817
223,808
88,844
149,836
79,858
213,833
224,837
89,862
212,850
79,876
175,849
223,861
110,881
253,861
170,875
254,885
87,911
210,896
79,927
88,933
254,908
210,918
79,940
224,931
130,963
79,969
87,982
132,968
208,957
126,973
96,984
208,968
224,955
116,979
139,975
159,974
149,976
169,973
207,973
194,971
159,979
148,992
123,1003
158,997
226,1027
