947,88
964,88
817,103
860,103
1029,131
841,142
1029,144
763,149
817,156
825,171
1016,181
840,183
872,183
895,184
1004,185
988,186
1026,195
916,196
900,200
1002,202
752,203
970,205
946,206
773,207
925,207
890,211
860,217
1002,217
890,219
962,222
925,225
941,228
867,229
849,236
979,242
888,244
856,247
1003,262
928,271
871,277
847,291
879,291
917,291
976,291
935,292
862,308
916,308
976,308
904,309
748,314
841,319
749,331
786,348
992,361
870,377
931,380
946,397
880,399
926,399
898,402
938,413
946,413
906,414
925,414
881,415
891,415
896,415
919,415
982,418
937,425
947,425
899,426
905,426
919,426
926,426
881,427
891,427
912,427
862,428
938,437
906,438
912,438
947,438
882,439
892,439
926,439
976,448
938,450
785,451
891,451
899,451
905,451
919,451
927,451
947,451
882,452
907,463
926,463
933,463
946,463
881,464
893,464
919,464
946,475
906,476
919,476
936,476
881,477
891,477
898,477
925,477
946,488
831,489
899,489
912,489
919,489
927,489
938,489
881,490
891,490
926,501
937,501
946,501
890,502
898,502
912,502
918,502
931,502
881,503
980,507
890,515
898,516
906,518
921,518
945,519
879,521
787,531
879,572
980,574
925,610
961,630
974,651
1018,662
945,692
894,697
899,708
953,710
867,717
963,720
862,728
925,756
945,769
933,770
871,786
933,788
981,792
872,802
981,809
861,810
907,825
1000,825
962,832
999,846
872,847
983,857
873,869
999,870
983,878
861,886
992,901
940,911
873,916
982,917
936,921
907,923
918,923
926,925
963,926
982,927
969,978
935,982
